z [m],T [K],M [kg/m2/s],Y_H2,Y_H,Y_O,Y_O2,Y_OH,Y_H2O,Y_HO2,Y_H2O2,Y_C,Y_CH,Y_CH2,Y_CH2(S),Y_CH3,Y_CH4,Y_CO,Y_CO2,Y_HCO,Y_CH2O,Y_CH2OH,Y_CH3O,Y_CH3OH,Y_C2H,Y_C2H2,Y_C2H3,Y_C2H4,Y_C2H5,Y_C2H6,Y_HCCO,Y_CH2CO,Y_HCCOH,Y_N,Y_NH,Y_NH2,Y_NH3,Y_NNH,Y_NO,Y_NO2,Y_N2O,Y_HNO,Y_CN,Y_HCN,Y_H2CN,Y_HCNN,Y_HCNO,Y_HOCN,Y_HNCO,Y_NCO,Y_N2,Y_AR,Y_C3H7,Y_C3H8,Y_CH2CHO,Y_CH3CHO
0.0,300.0,0.4280810415090343,6.29825398912715e-13,9.804355812405372e-17,-7.589997453005228e-16,0.22014123768655236,-3.157024036439557e-14,7.679539932032181e-16,-2.6824875239713352e-17,-1.7506582242020818e-14,-1.5929619505763655e-14,-8.805055168664925e-32,-1.4998132853012325e-16,-3.1969561162668584e-31,2.373507402198063e-16,0.05518666598228065,-5.911692493517873e-16,-1.4958760266883578e-18,-1.1956948037156569e-22,-2.5920032370385315e-14,1.7930796836718918e-31,1.3582595023806783e-21,-1.1998919979965405e-15,-1.2477178859179459e-14,-6.871658587293412e-16,-5.012521734108527e-32,-3.02695921837636e-14,-8.910968191370627e-22,6.484798185762148e-15,2.5141820938812179e-29,-4.632634916057703e-17,-4.561943118114349e-16,-4.276396094713589e-14,1.0078035030617497e-13,-1.1349376784365927e-16,8.343175146111756e-18,2.485616757504173e-32,1.1186568495556249e-15,-8.495962278885589e-15,-2.9139044213946775e-16,1.0346320420473674e-15,9.122903215394814e-16,-7.60702002646631e-15,2.653933291003138e-15,2.234570420870369e-31,-1.5661875104330084e-18,-7.260135498011001e-16,3.5520571007690574e-16,1.007563401739989e-17,0.7246720963305324,0.0,9.038605641752056e-14,-2.0108428455861012e-15,3.8245243043044766e-26,-7.368134331513593e-16
0.006,300.0000000002539,0.4280810415090343,1.9117065237776802e-11,9.290117878131177e-22,-5.381416403292494e-14,0.2201412376828365,2.4484276031880783e-16,7.786702963891041e-14,-2.754159430127308e-15,-2.3077888727513183e-14,-6.065200886021977e-21,-3.571913173326971e-33,-1.1207335851219041e-21,-4.387993487721209e-29,5.582244299498343e-14,0.055186665980503265,-6.58732229468173e-14,-2.0883761025924424e-16,-1.7446700934587767e-20,-2.5984893937115842e-14,-3.554899084978058e-30,2.008239202770702e-19,-1.1998877455875289e-15,-2.9162958808721205e-21,-6.871649506985322e-16,-6.953809286361961e-30,-3.028996887849567e-14,-1.369410788669815e-19,6.110650979859884e-15,2.294299905362482e-27,-4.632601012429138e-17,-4.561943120166038e-16,-6.090682795999749e-15,1.4856299858302817e-16,-1.1334832751796164e-16,8.343251441798227e-18,3.0005392778385685e-30,1.2455283196011136e-13,-8.496925449587563e-15,-2.9155974281804746e-16,1.0615634118635719e-15,5.987037947552285e-22,-7.603503527961283e-15,2.6768970392570992e-15,-5.005616429166444e-33,-1.5661872852000805e-18,-7.260135517128098e-16,3.552057108800545e-16,1.4864703414523275e-15,0.7246720963174127,0.0,9.041755726595383e-14,-2.0109372174786578e-15,6.531345494149232e-24,-7.368136195797966e-16
0.012,300.00000000053194,0.4280810415090343,5.798350084285637e-10,-4.955741950895384e-24,-5.0834455890357525e-14,0.2201412375721423,-3.0155935863604636e-17,9.815816983727395e-14,7.437279681074872e-15,-2.830955536776625e-14,-2.3193417892058798e-27,-1.3115008792065104e-39,4.266489237558075e-26,-1.282928201162325e-28,3.960504260640199e-14,0.055186665928386947,-6.321705919059489e-14,-1.7661578360926827e-16,7.646931622414436e-26,-2.5977544758729594e-14,-6.136576842602179e-27,2.880088685916697e-19,-1.1993632656904845e-15,-6.832727129286441e-28,-6.870116973843185e-16,7.266901273635178e-31,-3.031153328801902e-14,-1.509792152698833e-19,5.964608434135587e-15,2.595530651809069e-27,-4.631790159879457e-17,-4.561943085053768e-16,-8.685128626042916e-16,2.2005886727246565e-19,-1.1283940935393296e-16,8.351223874372012e-18,-1.600634664519109e-32,1.1362529558465742e-13,-8.497510688519775e-15,-2.9169878508860975e-16,1.0600224269223394e-15,3.939711870891466e-28,-7.603578723437285e-15,2.6763781927998108e-15,-5.410181644817394e-39,-1.566129535693617e-18,-7.26013554557357e-16,3.552063127403588e-16,1.486475770940149e-15,0.7246720959194968,0.0,9.04520327991296e-14,-2.0110190914361058e-15,7.348622258686094e-24,-7.368102008883783e-16
0.015,300.0000000147763,0.4280810415090343,7.02738870684046e-09,-4.0369097147950236e-24,-4.7393313307533565e-14,0.22014123629899324,-2.951959076047447e-17,1.2377326682820072e-12,1.3929104298171834e-14,-2.993655963268984e-14,-1.8048111600575557e-33,2.9931286575914983e-44,1.1174834826044128e-26,-1.1417678045431274e-28,3.185502304280134e-14,0.05518666532842907,4.783907828603284e-14,1.5917395019907522e-15,9.723698543920009e-26,-2.5764360698344663e-14,-6.2801152261679205e-27,2.8012968637297835e-19,-1.169496584394257e-15,-3.2328940172642133e-34,-6.790721485917127e-16,7.410483603458439e-31,-3.0274842496781286e-14,-1.4354538912069816e-19,6.0208475962959396e-15,2.4759016089601706e-27,-4.58200341589461e-17,-4.561940398404794e-16,-2.180217796990551e-16,6.48991490893793e-22,-1.0362665098256834e-16,8.66502659509801e-18,-1.3039108481219928e-32,1.1223035342068619e-13,-8.494691948500545e-15,-2.917636665357658e-16,1.0592797499498752e-15,5.505521514939765e-34,-7.603500197181427e-15,2.6763212758851444e-15,-1.870508333029079e-43,-1.5629616555148521e-18,-7.260135190057153e-16,3.552379079833893e-16,1.486483626897447e-15,0.7246720913437975,0.0,9.04683973092265e-14,-2.0110412092505926e-15,7.031375935614508e-24,-7.365702347568309e-16
0.0165,300.00000029348496,0.4280810415090343,4.57086728346389e-08,-3.6590083793264825e-24,-4.5292273451909625e-14,0.22014122865614155,-2.822505125671929e-17,2.3458826295326947e-11,4.9214965420665475e-14,-1.1598538968555519e-14,-2.8570615864882127e-39,4.763375240745996e-43,3.257408202649045e-27,-1.01942044998789e-28,2.948782511392728e-14,0.05518666171989534,2.392747483570059e-12,5.0334136664663665e-14,9.424427651430021e-26,-1.9890913998566473e-14,-6.072982479816214e-27,2.64982914410793e-19,-3.2162860801284746e-16,-2.3682626159034313e-40,-4.717380537134393e-16,7.171278936498701e-31,-2.899667309994672e-14,-1.3840205216689888e-19,7.423574302151998e-15,2.4390829511641233e-27,-2.976957267858092e-17,-4.561852990875499e-16,-8.801221054821772e-17,-1.0233489006081821e-23,1.745389753841201e-17,1.4918236467669183e-17,-1.1818491415433379e-32,1.1206578917988956e-13,-8.417281593362285e-15,-2.9172136333216433e-16,1.0593642132962868e-15,2.5200832614908193e-35,-7.60104452417261e-15,2.676314116750785e-15,-3.890422107337518e-43,-1.475259789689502e-18,-7.260123368935152e-16,3.5610764560930415e-16,1.486490977781716e-15,0.7246720638892208,0.0,9.04762785587389e-14,-2.010478047782832e-15,6.802079698421393e-24,-7.287571815720284e-16
0.018,300.0000076435076,0.4280810415090343,3.680210328310363e-07,-3.265830696687378e-24,-3.8609364007067096e-14,0.2201411648374073,-2.4052908310507924e-17,6.063553990481427e-10,9.85368269799397e-13,5.477248016661057e-13,-4.599164988813986e-45,-2.0348003668335355e-42,4.591953182281265e-28,-7.787301416471271e-29,6.248229626323139e-14,0.055186631424183764,6.91890931159363e-11,1.8578707689018013e-12,9.05885434569456e-26,2.0041866421027387e-13,-5.9615428895571225e-27,2.6590180075932667e-19,3.2050965173478436e-14,7.254986446421621e-41,6.816403016393103e-15,6.798844983370109e-31,1.779247605895949e-14,-1.301408316886011e-19,6.191378351462675e-14,2.4397473132391574e-27,6.657194044976733e-16,-4.558061813890457e-16,-3.549537055329129e-17,-1.4149800209634718e-23,2.195792475025364e-15,1.8314094158289317e-16,-1.0548487823385238e-32,1.152805938206447e-13,-5.8051449818508974e-15,-2.8891544251764085e-16,1.0720865518988326e-15,2.4739351974800757e-35,-7.507509361512243e-15,2.6764440981188324e-15,-8.813526840784635e-43,1.791346014814869e-18,-7.2596796970861905e-16,3.884794118258214e-16,1.4865723136070274e-15,0.7246718350379003,0.0,9.048358572570393e-14,-1.9809690590900873e-15,6.444979469213101e-24,-3.8716928861407125e-16
0.018749999999999996,300.00008124441564,0.4280810415090343,1.415444843599737e-06,3.7450601041210537e-23,-2.0951750915011025e-15,0.22014095600259095,-6.196540733533568e-19,6.412600242255123e-09,1.1054928178498551e-11,6.630831623198728e-12,-9.500657050296014e-51,-2.487216006277491e-42,2.1472779816125342e-26,1.057841636447083e-27,4.231782037198429e-13,0.05518653081553088,7.910704957551507e-10,2.722007935343664e-11,8.6514754856071e-26,3.3274645453580606e-12,-6.056503083903401e-27,2.5209899395722826e-18,4.996084042205425e-13,7.083239418722755e-41,1.0379937427754533e-13,6.6816812996203735e-31,6.634969813855198e-13,-8.039109571675758e-20,8.757236658623367e-13,2.247120067256316e-27,1.2053963387363618e-14,-4.495973084830585e-16,-2.0343265923166797e-17,-1.3599689826328798e-23,1.716853501781546e-14,1.9010839279892754e-15,1.2096256645164742e-31,1.514859007508783e-13,2.7522811974416816e-14,-2.4874950686993925e-16,1.2140220922008734e-15,2.6719159595971704e-35,-6.160615713338695e-15,2.6783789194018124e-15,-2.7620034851695113e-43,4.7826301032178364e-17,-7.253423376790951e-16,8.446106263085988e-16,1.4876932276202675e-15,0.7246710904822635,0.0,9.048490796703676e-14,-1.4144716156949368e-15,6.2052693435516514e-24,5.255859596426128e-15
0.019124999999999996,300.0004681286182,0.4280810415090343,3.3792445911742663e-06,8.683342544061167e-23,1.3607409260230238e-13,0.22014055663143914,1.1141921465272485e-16,3.6782423819559954e-08,6.785552478337916e-11,4.116440651896309e-11,4.794193711894166e-50,7.733213666726166e-41,5.359063999344558e-26,1.7081023716724038e-27,2.3177128960347473e-12,0.05518633183965189,4.872337577734685e-09,2.1149532862494236e-10,1.0345945462689965e-24,2.630172917796911e-11,-1.567176054466005e-27,1.0529648507463568e-16,3.99299210697848e-12,3.87435753171634e-39,7.733250660756464e-13,5.9232417064459734e-30,5.2799878121990015e-12,1.721322435752873e-19,7.160709248577226e-12,1.0040257520024026e-25,1.0813982723564378e-13,-3.9720962309420954e-16,-1.3976217581366243e-17,3.848322056293868e-23,7.237089767325947e-14,1.1102343953696152e-14,2.804651743088456e-31,3.57835907600691e-13,2.484648486343537e-13,4.562463799224392e-17,2.0208836213901267e-15,2.700757054478577e-35,3.873662937568e-15,2.6929072129208533e-15,-1.7880061769631858e-41,3.8371375367667226e-16,-7.207769960462871e-16,4.172637232285222e-15,1.4959107817769511e-15,0.7246696902621189,0.0,9.04774282466356e-14,4.162752806224349e-15,4.451820870454257e-23,5.327834912873699e-14
0.019499999999999997,300.00330817240365,0.4280810415090343,8.943237637803138e-06,1.6341202141559373e-21,8.865596005734934e-13,0.22013936577809146,1.8584367555470854e-15,2.5871285782714827e-07,5.140492757392153e-10,3.140531724043422e-10,2.2087043590647366e-49,2.1536804708711315e-40,2.9644404889503556e-24,8.514809264768113e-26,1.619474641626647e-11,0.055185698487006926,3.699911585288943e-08,2.058163139242268e-09,6.303356929069295e-23,2.590158029969799e-10,3.406617587350364e-25,5.2160724131012425e-15,3.9959741312879486e-11,5.913787992672904e-37,7.159471950628302e-12,8.3798145758411e-28,5.082765301583696e-11,2.663657909247489e-18,7.397696779362885e-11,5.974713867952936e-24,1.221134399006457e-12,2.0961843955589688e-16,-2.485423190131909e-18,1.6501898100172148e-21,3.621475354825062e-13,7.988094368225269e-14,5.2784061243207006e-30,1.993553404047973e-12,2.275089596860781e-12,3.0194596495719448e-15,8.398446797894217e-15,3.016200489804576e-35,1.0689407849815503e-13,2.843257721612019e-15,-1.1511506456430598e-41,3.763436671471364e-15,-6.748391359435967e-16,3.7659360666664574e-14,1.5783601502987683e-15,0.7246656934441172,0.0,9.041504751216555e-14,7.923711387220484e-14,2.435211069842514e-21,6.141983415005623e-13
0.019874999999999997,300.02414647422194,0.4280810415090343,2.4708823138587224e-05,7.396925403273287e-20,4.9719372395132776e-12,0.22013552211011447,6.488073948154181e-14,1.8805799820964902e-06,4.019432858087419e-09,2.4704625030852916e-09,1.0310703191467713e-48,2.257340091839812e-38,4.919899669971414e-22,2.1443275772361944e-23,1.1792689727905952e-10,0.05518341279499845,2.899095172005959e-07,2.056503494179574e-08,4.5676645160986416e-21,2.6160735188999553e-09,4.470162332498354e-23,2.470011615912236e-13,4.1027986606469934e-10,1.9669916847867986e-34,6.807603896074896e-11,2.858456187184277e-25,5.002387168256674e-10,2.5705056954159658e-17,7.841612104990419e-10,3.211237722607861e-22,1.4113925088765938e-11,7.239050035962813e-15,6.040951378944294e-17,4.647551322636722e-20,1.883450289761933e-12,5.939739734970383e-13,2.3909448132151826e-28,1.4960838092251736e-11,2.086402818771405e-11,3.3062701777482754e-14,5.879759600485137e-14,1.245043274816174e-34,1.1646409850081371e-12,4.399684617974744e-15,3.693903875953954e-38,3.777221660166342e-14,-2.1258254975810086e-16,3.7462235355669954e-13,2.4048867726964876e-15,0.7246541541628349,0.0,9.007050231008838e-14,1.0898618437207858e-12,1.3358585344129323e-19,7.166250569543241e-12
