z [m],T [K],M [kg/m2/s],Y_H2,Y_H,Y_O,Y_O2,Y_OH,Y_H2O,Y_HO2,Y_H2O2,Y_AR,Y_N2
0.0000000000e+00,300.000000,1.9840787629e+00,2.8511625276e-02,2.7054537094e-23,1.1708620846e-16,2.2626859761e-01,9.1303071517e-20,0.0000000000e+00,0.0000000000e+00,1.1666414542e-16,0.0000000000e+00,7.4521977711e-01
1.0050251256e-04,300.000000,1.9840787629e+00,2.8511625276e-02,6.4406172411e-23,1.1677166638e-16,2.2626859761e-01,1.0912864115e-19,0.0000000000e+00,0.0000000000e+00,1.1666373498e-16,0.0000000000e+00,7.4521977711e-01
2.0100502513e-04,300.000000,1.9840787629e+00,2.8511625276e-02,1.0175780773e-22,1.1645712430e-16,2.2626859761e-01,1.2695421077e-19,0.0000000000e+00,0.0000000000e+00,1.1666332455e-16,0.0000000000e+00,7.4521977711e-01
3.0150753769e-04,300.000000,1.9840787629e+00,2.8511625276e-02,1.3910944305e-22,1.1614258222e-16,2.2626859761e-01,1.4477978040e-19,0.0000000000e+00,0.0000000000e+00,1.1666291412e-16,0.0000000000e+00,7.4521977711e-01
4.0201005025e-04,300.000000,1.9840787629e+00,2.8511625276e-02,1.7293199002e-22,1.1582990785e-16,2.2626859761e-01,1.6092643535e-19,0.0000000000e+00,0.0000000000e+00,1.1666250527e-16,0.0000000000e+00,7.4521977711e-01
5.0251256281e-04,300.000000,1.9840787629e+00,2.8511625276e-02,1.7267918764e-22,1.1553526729e-16,2.2626859761e-01,1.6086221688e-19,0.0000000000e+00,0.0000000000e+00,1.1666211175e-16,0.0000000000e+00,7.4521977711e-01
6.0301507538e-04,300.000000,1.9840787629e+00,2.8511625276e-02,1.7242638527e-22,1.1524062672e-16,2.2626859761e-01,1.6079799842e-19,0.0000000000e+00,0.0000000000e+00,1.1666171824e-16,0.0000000000e+00,7.4521977711e-01
7.0351758794e-04,300.000000,1.9840787629e+00,2.8511625276e-02,1.7217358289e-22,1.1494598616e-16,2.2626859761e-01,1.6073377995e-19,0.0000000000e+00,0.0000000000e+00,1.1666132472e-16,0.0000000000e+00,7.4521977711e-01
8.0402010050e-04,300.000000,1.9840787629e+00,2.8511625276e-02,1.7192078051e-22,1.1465134560e-16,2.2626859761e-01,1.6066956148e-19,0.0000000000e+00,0.0000000000e+00,1.1666093121e-16,0.0000000000e+00,7.4521977711e-01
9.0452261307e-04,300.000000,1.9840787629e+00,2.8511625276e-02,1.7166797813e-22,1.1435670503e-16,2.2626859761e-01,1.6060534302e-19,0.0000000000e+00,0.0000000000e+00,1.1666053769e-16,0.0000000000e+00,7.4521977711e-01
1.0050251256e-03,300.000000,1.9840787629e+00,2.8511625276e-02,1.7141517576e-22,1.1406206447e-16,2.2626859761e-01,1.6054112455e-19,0.0000000000e+00,0.0000000000e+00,1.1666014418e-16,0.0000000000e+00,7.4521977711e-01
1.1055276382e-03,300.000000,1.9840787629e+00,2.8511625276e-02,1.7116237338e-22,1.1376742391e-16,2.2626859761e-01,1.6047690609e-19,0.0000000000e+00,0.0000000000e+00,1.1665975066e-16,0.0000000000e+00,7.4521977711e-01
1.2060301508e-03,300.000000,1.9840787629e+00,2.8511625276e-02,1.7090957100e-22,1.1347278334e-16,2.2626859761e-01,1.6041268762e-19,0.0000000000e+00,0.0000000000e+00,1.1665935715e-16,0.0000000000e+00,7.4521977711e-01
1.3065326633e-03,300.000000,1.9840787629e+00,2.8511625276e-02,1.7065676862e-22,1.1317814278e-16,2.2626859761e-01,1.6034846916e-19,0.0000000000e+00,0.0000000000e+00,1.1665896363e-16,0.0000000000e+00,7.4521977711e-01
1.4070351759e-03,300.000000,1.9840787629e+00,2.8511625276e-02,1.7040396624e-22,1.1288350222e-16,2.2626859761e-01,1.6028425069e-19,0.0000000000e+00,0.0000000000e+00,1.1665857011e-16,0.0000000000e+00,7.4521977711e-01
1.5075376884e-03,300.000000,1.9840787629e+00,2.8511625276e-02,1.7015116387e-22,1.1258886165e-16,2.2626859761e-01,1.6022003223e-19,0.0000000000e+00,0.0000000000e+00,1.1665817660e-16,0.0000000000e+00,7.4521977711e-01
1.6080402010e-03,300.000000,1.9840787629e+00,2.8511625276e-02,1.6989836149e-22,1.1229422109e-16,2.2626859761e-01,1.6015581376e-19,0.0000000000e+00,0.0000000000e+00,1.1665778308e-16,0.0000000000e+00,7.4521977711e-01
1.7085427136e-03,300.000000,1.9840787629e+00,2.8511625276e-02,1.6964555911e-22,1.1199958053e-16,2.2626859761e-01,1.6009159530e-19,0.0000000000e+00,0.0000000000e+00,1.1665738957e-16,0.0000000000e+00,7.4521977711e-01
1.8090452261e-03,300.000000,1.9840787629e+00,2.8511625276e-02,1.6939275673e-22,1.1170493996e-16,2.2626859761e-01,1.6002737683e-19,0.0000000000e+00,0.0000000000e+00,1.1665699605e-16,0.0000000000e+00,7.4521977711e-01
1.9095477387e-03,300.000000,1.9840787629e+00,2.8511625276e-02,1.6913995436e-22,1.1141029940e-16,2.2626859761e-01,1.5996315836e-19,0.0000000000e+00,0.0000000000e+00,1.1665660254e-16,0.0000000000e+00,7.4521977711e-01
2.0100502513e-03,300.000000,1.9840787629e+00,2.8511625276e-02,1.6888715198e-22,1.1111565884e-16,2.2626859761e-01,1.5989893990e-19,0.0000000000e+00,0.0000000000e+00,1.1665620902e-16,0.0000000000e+00,7.4521977711e-01
2.1105527638e-03,300.000000,1.9840787629e+00,2.8511625276e-02,1.6863434960e-22,1.1082101827e-16,2.2626859761e-01,1.5983472143e-19,0.0000000000e+00,0.0000000000e+00,1.1665581551e-16,0.0000000000e+00,7.4521977711e-01
2.2110552764e-03,300.000000,1.9840787629e+00,2.8511625276e-02,1.6838154722e-22,1.1052637771e-16,2.2626859761e-01,1.5977050297e-19,0.0000000000e+00,0.0000000000e+00,1.1665542199e-16,0.0000000000e+00,7.4521977711e-01
2.3115577889e-03,300.000000,1.9840787629e+00,2.8511625276e-02,1.6812874485e-22,1.1023173715e-16,2.2626859761e-01,1.5970628450e-19,0.0000000000e+00,0.0000000000e+00,1.1665502847e-16,0.0000000000e+00,7.4521977711e-01
2.4120603015e-03,300.000000,1.9840787629e+00,2.8511625276e-02,1.6787594247e-22,1.0993709658e-16,2.2626859761e-01,1.5964206604e-19,0.0000000000e+00,0.0000000000e+00,1.1665463496e-16,0.0000000000e+00,7.4521977711e-01
2.5125628141e-03,300.000000,1.9840787629e+00,2.8511625276e-02,1.6762314009e-22,1.0964245602e-16,2.2626859761e-01,1.5957784757e-19,0.0000000000e+00,0.0000000000e+00,1.1665424144e-16,0.0000000000e+00,7.4521977711e-01
2.6130653266e-03,300.000000,1.9840787629e+00,2.8511625276e-02,1.6737033771e-22,1.0934781546e-16,2.2626859761e-01,1.5951362911e-19,0.0000000000e+00,0.0000000000e+00,1.1665384793e-16,0.0000000000e+00,7.4521977711e-01
2.7135678392e-03,300.000000,1.9840787629e+00,2.8511625276e-02,1.6711753534e-22,1.0905317489e-16,2.2626859761e-01,1.5944941064e-19,0.0000000000e+00,0.0000000000e+00,1.1665345441e-16,0.0000000000e+00,7.4521977711e-01
2.8140703518e-03,300.000000,1.9840787629e+00,2.8511625276e-02,1.6686473296e-22,1.0875853433e-16,2.2626859761e-01,1.5938519218e-19,0.0000000000e+00,0.0000000000e+00,1.1665306090e-16,0.0000000000e+00,7.4521977711e-01
2.9145728643e-03,300.000000,1.9840787629e+00,2.8511625276e-02,1.6657326631e-22,1.0846610635e-16,2.2626859761e-01,1.5924670592e-19,0.0000000000e+00,0.0000000000e+00,1.1665267581e-16,0.0000000000e+00,7.4521977711e-01
3.0150753769e-03,300.000000,1.9840787629e+00,2.8511625276e-02,1.6614379184e-22,1.0818157596e-16,2.2626859761e-01,1.5884312904e-19,0.0000000000e+00,0.0000000000e+00,1.1665232079e-16,0.0000000000e+00,7.4521977711e-01
3.1155778894e-03,300.000000,1.9840787629e+00,2.8511625276e-02,1.6571431737e-22,1.0789704557e-16,2.2626859761e-01,1.5843955216e-19,0.0000000000e+00,0.0000000000e+00,1.1665196577e-16,0.0000000000e+00,7.4521977711e-01
3.2160804020e-03,300.000000,1.9840787629e+00,2.8511625276e-02,1.6528484290e-22,1.0761251517e-16,2.2626859761e-01,1.5803597528e-19,0.0000000000e+00,0.0000000000e+00,1.1665161075e-16,0.0000000000e+00,7.4521977711e-01
3.3165829146e-03,300.000000,1.9840787629e+00,2.8511625276e-02,1.6485536844e-22,1.0732798478e-16,2.2626859761e-01,1.5763239840e-19,0.0000000000e+00,0.0000000000e+00,1.1665125574e-16,0.0000000000e+00,7.4521977711e-01
3.4170854271e-03,300.000000,1.9840787629e+00,2.8511625276e-02,1.6442589397e-22,1.0704345438e-16,2.2626859761e-01,1.5722882152e-19,0.0000000000e+00,0.0000000000e+00,1.1665090072e-16,0.0000000000e+00,7.4521977711e-01
3.5175879397e-03,300.000000,1.9840787629e+00,2.8511625276e-02,1.6399641950e-22,1.0675892399e-16,2.2626859761e-01,1.5682524464e-19,0.0000000000e+00,0.0000000000e+00,1.1665054570e-16,0.0000000000e+00,7.4521977711e-01
3.6180904523e-03,300.000000,1.9840787629e+00,2.8511625276e-02,1.6356694503e-22,1.0647439359e-16,2.2626859761e-01,1.5642166775e-19,0.0000000000e+00,0.0000000000e+00,1.1665019068e-16,0.0000000000e+00,7.4521977711e-01
3.7185929648e-03,300.000000,1.9840787629e+00,2.8511625276e-02,1.6313747056e-22,1.0618986320e-16,2.2626859761e-01,1.5601809087e-19,0.0000000000e+00,0.0000000000e+00,1.1664983567e-16,0.0000000000e+00,7.4521977711e-01
3.8190954774e-03,300.000000,1.9840787629e+00,2.8511625276e-02,1.6270799609e-22,1.0590533281e-16,2.2626859761e-01,1.5561451399e-19,0.0000000000e+00,0.0000000000e+00,1.1664948065e-16,0.0000000000e+00,7.4521977711e-01
3.9195979899e-03,300.000000,1.9840787629e+00,2.8511625276e-02,1.6227852163e-22,1.0562080241e-16,2.2626859761e-01,1.5521093711e-19,0.0000000000e+00,0.0000000000e+00,1.1664912563e-16,0.0000000000e+00,7.4521977711e-01
4.0201005025e-03,300.000000,1.9840787629e+00,2.8511625276e-02,1.6184904716e-22,1.0533627202e-16,2.2626859761e-01,1.5480736023e-19,0.0000000000e+00,0.0000000000e+00,1.1664877061e-16,0.0000000000e+00,7.4521977711e-01
4.1206030151e-03,300.000000,1.9840787629e+00,2.8511625276e-02,1.6141957269e-22,1.0505174162e-16,2.2626859761e-01,1.5440378335e-19,0.0000000000e+00,0.0000000000e+00,1.1664841560e-16,0.0000000000e+00,7.4521977711e-01
4.2211055276e-03,300.000000,1.9840787629e+00,2.8511625275e-02,1.6103508713e-22,1.0480027496e-16,2.2626859761e-01,1.5403772780e-19,0.0000000000e+00,0.0000000000e+00,1.1665032738e-16,0.0000000000e+00,7.4521977711e-01
4.3216080402e-03,300.000000,1.9840787629e+00,2.8511625275e-02,1.6066319126e-22,1.0455806086e-16,2.2626859761e-01,1.5368217223e-19,0.0000000000e+00,0.0000000000e+00,1.1665287350e-16,0.0000000000e+00,7.4521977711e-01
4.4221105528e-03,300.000000,1.9840787629e+00,2.8511625275e-02,1.6029129540e-22,1.0431584675e-16,2.2626859761e-01,1.5332661665e-19,0.0000000000e+00,0.0000000000e+00,1.1665541962e-16,0.0000000000e+00,7.4521977711e-01
4.5226130653e-03,300.000000,1.9840787629e+00,2.8511625275e-02,1.5991939953e-22,1.0407363265e-16,2.2626859761e-01,1.5297106107e-19,0.0000000000e+00,0.0000000000e+00,1.1665796574e-16,0.0000000000e+00,7.4521977711e-01
4.6231155779e-03,300.000000,1.9840787629e+00,2.8511625274e-02,1.5954750367e-22,1.0383141855e-16,2.2626859761e-01,1.5261550549e-19,0.0000000000e+00,0.0000000000e+00,1.1666051187e-16,0.0000000000e+00,7.4521977711e-01
4.7236180905e-03,300.000000,1.9840787629e+00,2.8511625274e-02,1.5917560780e-22,1.0358920444e-16,2.2626859761e-01,1.5225994991e-19,0.0000000000e+00,0.0000000000e+00,1.1666305799e-16,0.0000000000e+00,7.4521977711e-01
4.8241206030e-03,300.000000,1.9840787629e+00,2.8511625274e-02,1.5880371194e-22,1.0334699034e-16,2.2626859761e-01,1.5190439433e-19,0.0000000000e+00,0.0000000000e+00,1.1666560411e-16,0.0000000000e+00,7.4521977711e-01
4.9246231156e-03,300.000000,1.9840787629e+00,2.8511625274e-02,1.5843181607e-22,1.0310477623e-16,2.2626859761e-01,1.5154883875e-19,0.0000000000e+00,0.0000000000e+00,1.1666815023e-16,0.0000000000e+00,7.4521977711e-01
5.0251256281e-03,300.000000,1.9840787629e+00,2.8511625273e-02,1.5805992021e-22,1.0286256213e-16,2.2626859761e-01,1.5119328317e-19,0.0000000000e+00,0.0000000000e+00,1.1667069636e-16,0.0000000000e+00,7.4521977711e-01
5.1256281407e-03,300.000000,1.9840787629e+00,2.8511625273e-02,1.5768802434e-22,1.0262034802e-16,2.2626859761e-01,1.5083772759e-19,0.0000000000e+00,0.0000000000e+00,1.1667324248e-16,0.0000000000e+00,7.4521977711e-01
5.2261306533e-03,300.000000,1.9840787629e+00,2.8511625273e-02,1.5731612848e-22,1.0237813392e-16,2.2626859761e-01,1.5048217201e-19,0.0000000000e+00,0.0000000000e+00,1.1667578860e-16,0.0000000000e+00,7.4521977711e-01
5.3266331658e-03,300.000000,1.9840787629e+00,2.8511625273e-02,1.5694423261e-22,1.0213591982e-16,2.2626859761e-01,1.5012661644e-19,0.0000000000e+00,0.0000000000e+00,1.1667833472e-16,0.0000000000e+00,7.4521977711e-01
5.4271356784e-03,300.000000,1.9840787629e+00,2.8511625270e-02,1.5755161360e-22,1.0253081543e-16,2.2626859761e-01,1.5070472180e-19,0.0000000000e+00,0.0000000000e+00,1.1676408830e-16,0.0000000000e+00,7.4521977712e-01
5.5276381910e-03,300.000000,1.9840787629e+00,2.8511625263e-02,1.6002771404e-22,1.0414148503e-16,2.2626859762e-01,1.5306449940e-19,0.0000000000e+00,0.0000000000e+00,1.1700862371e-16,0.0000000000e+00,7.4521977712e-01
5.6281407035e-03,300.000000,1.9840787629e+00,2.8511625255e-02,1.6250381448e-22,1.0575215463e-16,2.2626859762e-01,1.5542427700e-19,6.0329172989e-18,0.0000000000e+00,1.1725315913e-16,0.0000000000e+00,7.4521977713e-01
5.7286432161e-03,300.000000,1.9840787629e+00,2.8511625248e-02,1.6497991492e-22,1.0736282422e-16,2.2626859762e-01,1.5778405459e-19,2.5106421667e-17,0.0000000000e+00,1.1749769454e-16,0.0000000000e+00,7.4521977713e-01
5.8291457286e-03,300.000000,1.9840787629e+00,2.8511625241e-02,1.6745601536e-22,1.0897349382e-16,2.2626859762e-01,1.6014383219e-19,4.4179926036e-17,0.0000000000e+00,1.1774222996e-16,0.0000000000e+00,7.4521977714e-01
5.9296482412e-03,300.000000,1.9840787629e+00,2.8511625233e-02,1.6993211580e-22,1.1058416342e-16,2.2626859763e-01,1.6250360979e-19,6.3253430405e-17,0.0000000000e+00,1.1798676537e-16,0.0000000000e+00,7.4521977714e-01
6.0301507538e-03,300.000000,1.9840787629e+00,2.8511625214e-02,1.8226814663e-22,1.1858544733e-16,2.2626859763e-01,1.7426536659e-19,1.7082213527e-16,0.0000000000e+00,1.1950291123e-16,0.0000000000e+00,7.4521977715e-01
6.1306532663e-03,300.000000,1.9840787629e+00,2.8511625111e-02,2.6356211367e-22,1.7128112129e-16,2.2626859766e-01,2.5178226134e-19,8.9730458039e-16,0.0000000000e+00,1.2991238883e-16,0.0000000000e+00,7.4521977723e-01
